순서,컬럼영문명,컬럼한글명,데이터타입,길이,PK여부,NOT NULL여부
1,ANALS_YM,분석년월,VARCHAR,6,N,N
2,CMPNM_NM,상호명,VARCHAR,200,N,N
3,SIGNGU_NM,시군구명,VARCHAR,200,N,N
4,ADSTRD_NM,행정동명,VARCHAR,200,N,N
5,AREA_NM,지역명,VARCHAR,200,N,N
6,MLSFC_NM,중분류명,VARCHAR,200,N,N
7,SCLAS_NM,소분류명,VARCHAR,200,N,N
8,JJINHBT_SALES_PRICE_RATE,제주도민매출금액비율,DECIMAL,"28,5",N,N
9,JJINHBT_SALES_CO_RATE,제주도민매출수비율,DECIMAL,"28,5",N,N
10,OTSD_SALES_PRICE_RATE,외지인매출금액비율,DECIMAL,"28,5",N,N
11,OTSD_SALES_CO_RATE,외지인매출수비율,DECIMAL,"28,5",N,N
12,ALL_SALES_PRICE_RATE,전체매출금액비율,DECIMAL,"28,5",N,N
13,ALL_SALES_CO_RATE,전체매출수비율,DECIMAL,"28,5",N,N
14,VARTION_RT,변화율,DECIMAL,"28,5",N,N
15,RANK_CO,순위수,DECIMAL,"28,5",N,N
16,GID_ID,격자ID,VARCHAR,50,N,N
